31,31
33,2
79,46
251,172
259,8
375,116
612,237
709,97
827,118
876,49
877,1
886,9
893,7
902,9
919,17
925,6
1013,88
1100,87
1140,40
1141,1
1159,18
1184,25
1312,128
1316,4
1520,204
1543,23
1573,30
1691,118
1696,5
1742,46
1744,2
1897,153
2039,142
2045,6
2055,10
2062,7
2090,28
2178,88
2199,21
2317,118
2418,101
2419,1
2453,34
2489,36
2602,113
2643,41
2650,7
2709,59
2780,71
2891,111
2961,70
3036,75
3045,9
3152,107
3163,11
3166,3
3167,1
3171,4
3272,101
3354,82
3501,147
3510,9
3583,73
3622,39
3725,103
3746,21
3764,18
3765,1
3890,125
3981,91
4025,44
4069,44
4276,207
4277,1
4456,179
4518,62
4534,16
4658,124
4729,71
4914,185
4915,1
4994,79
5017,23
5123,106
5240,117
5265,25
5333,68
5336,3
5418,82
5430,12
5432,2
5443,11
5481,38
5510,29
5528,18
5529,1
5545,16
5687,142
5775,88
5932,157
5988,56
6082,94
6159,77
6160,1
6275,115
6456,181
6654,198
6774,120
6775,1
6879,104
6982,103
6983,1
7039,56
7040,1
7135,95
7171,36
7199,28
7363,164
7385,22
7508,123
7622,114
7653,31
7723,70
7816,93
7883,67
7884,1
7928,44
7930,2
7973,43
7974,1
8021,47
8024,3
8077,53
8129,52
8245,116
8281,36
8376,95
8451,75
8485,34
8513,28
8569,56
8633,64
8705,72
8847,142
8894,47
8931,37
9026,95
9027,1
9111,84
9124,13
9146,22
9155,9
9275,120
9340,65
9350,10
9419,69
9425,6
9490,65
9551,61
9643,92
9703,60
9734,31
9735,1
9824,89
9903,79
9913,10
10046,133
10151,105
10363,212
10365,2
10399,34
10555,156
10583,28
10770,187
10876,106
11001,125
11112,111
11156,44
11178,22
11323,145
11368,45
11379,11
11499,120
11618,119
11676,58
11680,4
11694,14
11706,12
11777,71
11849,72
11929,80
11930,1
12035,105
12038,3
12071,33
12072,1
12192,120
12193,1
12301,108
12381,80
12409,28
12424,15
12557,133
12560,3
12582,22
12602,20
12604,2
12756,152
12938,182
13007,69
13043,36
13087,44
13088,1
13426,338
13517,91
13601,84
13685,84
13727,42
13882,155
13887,5
14131,244
14218,87
14326,108
14420,94
14421,1
14438,17
14562,124
14563,1
14610,47
14639,29
14717,78
14719,2
14885,166
14886,1
14952,66
15046,94
15202,156
15203,1
15234,31
15333,99
15362,29
15371,9
15403,32
15457,54
15458,1
15493,35
15776,283
15842,66
16002,160
16044,42
16107,63
16149,42
16383,234
16390,7
16490,100
16564,74
16565,1
16741,176
16745,4
16786,41
16995,209
16999,4
17121,122
17203,82
17318,115
17353,35
17372,19
17417,45
17418,1
17578,160
17579,1
17699,120
17862,163
17985,123
18228,243
18283,55
18364,81
18429,65
18543,114
18545,2
18660,115
18758,98
18762,4
18870,108
18871,1
18956,85
18957,1
19045,88
19113,68
19114,1
19172,58
19212,40
19215,3
19241,26
19325,84
19420,95
19491,71
19492,1
19501,9
19509,8
19670,161
19671,1
19749,78
19813,64
19814,1
19896,82
19945,49
20083,138
20216,133
20266,50
20443,177
20444,1
20573,129
20744,171
20835,91
20836,1
20924,88
20939,15
21034,95
21115,81
21248,133
21519,271
21591,72
21595,4
21844,249
21845,1
21859,14
21870,11
21908,38
21940,32
21941,1
21952,11
21960,8
21987,27
21988,1
22014,26
22015,1
22016,1
22017,1
22018,1
22019,1
22020,1
22021,1
22024,3
22025,1
22028,3
22054,26
22075,21
22106,31
22134,28
22142,8
22224,82
22225,1
22317,92
22318,1
22446,128
22447,1
22501,54
22542,41
22577,35
22730,153
22731,1
22764,33
22970,206
23115,145
23208,93
23445,237
23509,64
23510,1
23579,69
23657,78
23966,309
24053,87
24115,62
24116,1
24149,33
24178,29
24295,117
24296,1
24619,323
25164,545
25165,1
25348,183
25459,111
25518,59
25600,82
25659,59
25727,68
25834,107
25881,47
25882,1
25904,22
25905,1
25939,34
25940,1
25985,45
25995,10
26070,75
26140,70
26142,2
26183,41
26253,70
26254,1
26311,57
26378,67
26380,2
26492,112
26498,6
26571,73
26691,120
26694,3
26771,77
26814,43
26856,42
26996,140
27082,86
27233,151
27271,38
27436,165
27499,63
27500,1
27543,43
27544,1
27681,137
27735,54
27736,1
27774,38
28304,530
28368,64
28429,61
28555,126
28758,203
28823,65
28841,18
28962,121
29021,59
29104,83
29105,1
29163,58
29182,19
29307,125
29308,1
29366,58
29370,4
29489,119
29490,1
29631,141
29632,1
29723,91
29932,209
29934,2
30006,72
30009,3
30052,43
30225,173
30373,148
30375,2
30448,73
30505,57
30508,3
30579,71
30728,149
30797,69
30855,58
30903,48
31021,118
31022,1
31129,107
31222,93
31223,1
31395,172
31422,27
31452,30
31453,1
31463,10
31465,2
31474,9
31518,44
31521,3
31600,79
32109,509
32110,1
32255,145
32430,175
32488,58
33595,1107
33675,80
33684,9
33714,30
33715,1
33984,269
34695,711
34696,1
34714,18
34728,14
34757,29
34758,1
34827,69
34935,108
35015,80
35016,1
35117,101
35159,42
35201,42
35265,64
35266,1
35349,83
35350,1
35712,362
36663,951
37109,446
37110,1
37116,6
37120,4
37123,3
37169,46
37291,122
37396,105
37528,132
37529,1
38081,552
38153,72
38297,144
38561,264
38562,1
38632,70
38701,69
38754,53
38759,5
38798,39
38844,46
38921,77
38994,73
39327,333
39328,1
39387,59
39394,7
39441,47
39553,112
39560,7
39660,100
39779,119
39888,109
40082,194
40244,162
40788,544
40789,1
40954,165
41014,60
41105,91
41164,59
41691,527
41692,1
42076,384
42154,78
42543,389
42544,1
42987,443
42989,2
43121,132
43221,100
43317,96
43639,322
43805,166
43984,179
43985,1
44006,21
44032,26
44033,1
44078,45
44080,2
